title,ingredients,distinct_ingredients,num_ingredients,link,source,directions
Italian Stuffed Chicken Breast With A Marsala Sauce,"[""4 chicken breasts"", ""5 -6 tablespoons Appenzeller cheese"", ""5 -6 tablespoons gruyere cheese"", ""2 tablespoons parmesan cheese (All 3 cheeses should make a cupful maybe a little over, that should be enough for the 4 breasts.)"", ""8 sage leaves, 2 per breast"", ""4 -8 slices prosciutto (I have said this, as if they are quite wide slices, 1 per breast and if they are thin slices, you wi)"", ""Marsala Sauce"", ""1 cup marsala"", ""2 teaspoons instant chicken bouillon granules"", ""1/2 cup light cream"", ""1/2 cup thick double cream"", ""2 teaspoons tarragon"", ""1 teaspoon cornflour"", ""pepper""]","appenzeller cheese, chicken breasts, cornflour, cream, gruyere cheese, instant chicken, light cream, marsala, marsala sauce, parmesan cheese, pepper, sage, said, tarragon",14,www.food.com/recipe/italian-stuffed-chicken-breast-with-a-marsala-sauce-284144,Gathered,"[""Pound chicken with a meat mallet until it is close to the same thickness all over about 1/4 inch."", ""Lay a slice of prosciutto over breast, 2 if they are thin, top with two sage leaves, laying them top to bottom down the centre of the breast. Distribute cheese equally among the breasts again lay it top to bottom down the centre of the breast."", ""Fold breast over to join, secure with kitchen string at close intervals, tying as tightly as you can, to prevent cheese from melting out of the chicken breast during cooking."", ""Heat a small amount of olive oil in a pan, add chicken breasts and brown on both sides to give the breast a nice rich colour."", ""Transfer breasts to an ovenproof dish and finish cooking in a pre-heated oven 180c. It will take about 30-40 Min's depending in the size of the breasts."", ""Sauce."", ""Add 1 cup of Marsala, 2 teaspoons chicken stock, heat through, add 1/2 cup reduced fat cream and the double cream, mix a little water with the cornflour add a little at a time, to thicken, add pepper to taste and stir in tarragon."", ""To serve: Place a couple of spoonfuls of mash on a plate, slice chicken, and arrange over the top drizzle sauce over.""]"
Easy Vietnamese Pho,"[""6 cups beef stock"", ""1 None lime, juiced"", ""2 tbsp fish sauce + extra to serve"", ""2 None star anise"", ""2 None cardamom pods (optional)"", ""7 oz rice noodles"", ""1 lb beef tenderloin, sliced very thinly"", ""4 oz bean sprouts"", ""1/2 bunch fresh cilantro, leaves picked"", ""1/2 bunch fresh basil leaves"", ""2 None spring onions, thinly sliced"", ""1 None long red chili, thinly sliced"", ""None None fried shallots, to serve"", ""None None lime wedges, to serve""]","anise, bean sprouts, beef stock, beef tenderloin, cardamom pods, fish sauce +, fresh basil, fresh cilantro, lime, lime wedges, long red chili, rice noodles, shallots, spring onions",14,recipes-plus.com/api/v2.0/recipes/23636,Gathered,"[""In a large saucepan, combine stock, lime juice, fish sauce, star anise and cardamom. Bring to a boil, reduce heat and simmer for 5 mins."", ""Meanwhile, prepare noodles following package instructions. Drain well."", ""Divide noodles between serving bowls. Top with raw beef slices, bean sprouts, herbs, spring onion and chili. Ladle hot stock over top and sprinkle with fried shallots. Serve with fish sauce and lime wedges.""]"
Rlsawyers' Chicken Enchilada Pie ,"[""2 pounds Boneless Skinless Chicken Breast"", ""2 pounds Shredded Mexican Style Cheese"", ""12 Flame-Grilled Corn Tortillas, White or Yellow"", ""2 teaspoons Cooking Oil or Spray"", ""1 handful Chopped Lorocco Flowers, optional"", ""2 cups Your favorite Red/Green Salsa"", ""1 can Red Enchilada Sauce"", ""1 can Green Enchilada Sauce"", ""1 sheet 13x9x2 Cake Tin"", ""1/4 cup Sour Cream, optional"", ""4 pieces Jalapenos, chopped with or without seeds, optional"", ""1 handful Cilantro, chopped, optional"", ""1 handful Black Olives, any style, optional"", ""2 quarts Skillet if you have an electric stove, not needed for gas stove."", ""8 cups Large Mixing Bowl""]","cheese, chicken, cooking oil, corn tortillas, favorite red, green enchilada sauce, handful, handful black olives, handful cilantro, jalapeños, mixing bowl, red enchilada sauce, skillet, sour cream",14,www.epicurious.com/recipes/member/views/rlsawyers-chicken-enchilada-pie-5a316d25364c9024d0d4e728,Gathered,"[""1 day before, slice chicken breasts into 1/2 thick cutlets against the grain."", ""1 day before marinate chicken breasts in 2 cups of your favorite salsa. I use half green and half red La Victoria salsa."", ""Bring to boil covered then simmer uncovered 2 cans of enchilada sauce. Mix occasionally."", ""Bake at 350 marinated chicken strips + jalapenos (stoneware works best) 15-20 minutes. Make sure chicken has turned white, do not overcook."", ""Flame-Grill Corn Tortillas directly over open flame. If stove is electric, grill tortillas in a skillet."", ""Spray or Coat cake tin with cooking oil."", ""Strain cooked chicken in a collander and allow to cool."", ""Layer bottom of oiled cake tin with 6 tortillas."", ""Cover tortillas with shredded cheese"", ""Shred cooked chicken with forks or fingers in large bowl. Add sour cream, chopped lorocco, and 1.5 cups shredded cheese."", ""Spread chicken mixture onto cheese and tortillas."", ""Add another layer of shredded cheese."", ""Add six more flame grilled tortillas."", ""Ladel on lots of enchilada sauce, throroughly cover the whole enchilada. :)"", ""Add final layer of shredded cheese. This is gonna be yummy!"", ""Bake RLSawyers' Chicken Enchilada Pie at 350 for 25 minutes or until cheese is bubbly and starting to brown."", ""Let cool 5 to 10 minutes, cut into squares and serve with your choice of toppings."", ""Refrigerate RLSawyers' Chicken Enchilada Pie. Can be made 2 days ahead.""]"
Mini Salmon Burgers With Vodka Creme ,"[""1 1/2 lbs of salmon- cut in cubes before putting in the processor."", ""1 small shallot or 2-3 tbsp onion"", ""1 tsp of seasoning- Creole, Cajun or Australian fish spice mix"", ""1 TBSP of dill"", ""2Tbsp capers"", ""Zest from 1/2 of a lemon"", ""Little bit of lemon juice- approximately. 2 tsp"", ""2-4 tbsp mayo"", ""2 tbsp chives chopped or chive blossoms"", ""Veg oil to coat your hands"", ""Vodka Creme fraice"", ""1 cup creme fraise or sour cream"", ""2 TBSP vodka approximately"", ""2 Tbsp dill"", ""mix- enough vodka in so you can taste it but do not thin the creme too much"", ""For sliders take the thin diet hamburger buns and cut with a cookie cutter - or if you want a special appetizer make blini -or use those rye squares""]","before putting, cajun, capers, chives, crème fraise, dill, lemon, mayo, shallot, sliders, veg oil, vodka, vodka approximately, vodka crème fraice",14,www.epicurious.com/recipes/member/views/mini-salmon-burgers-with-vodka-creme-50087183,Gathered,"[""Put the onion, spice, lemon zest and dill in the processor first to mince- add the capers and salmon and dollop in 1/2 the mayo- chop carefully do not puree"", ""Add more mayo for proper texture and the lemon juice-"", ""Let chill a bit"", ""Coat your hands with veg oil and make little balls- slightly smaller than golf balls for appetizers or bigger for sliders - coat your hands frequently- to keep the burger coated-"", """", ""Chill again -smash a bit to make burger and grill"", ""Toast the rolls or bread and top with the burger"", ""Top the burger with a dollop of the creme and some chopped chives""]"
Roasted Sausage And Sweet Potato Casserole ,"[""Roasted Sausages and Sweet Potato-White Bean Stew"", ""From Country Living"", ""This recipe has been tested by Country Living"", ""Roasting sausage is great alternative to grilling in the winter. The juicy sausage lends its rich flavor to the stew in this delicious one-pot meal!"", ""By Marian Cooper Cairns"", ""Be the first to rate this recipe"", ""RecipePhotosReviews"", ""Save this recipe"", ""Add ingredients to my shopping list"", ""Submit your version"", ""Nutritional Information"", ""(per serving)"", ""Calories\t592"", ""Total Fat\t33g"", ""Saturated Fat\t--"", ""Cholesterol\t57mg"", ""Sodium\t1575mg"", ""Total Carbohydrate\t48g"", ""Dietary Fiber\t7g"", ""Sugars\t--"", ""Protein\t24g"", ""Calcium\t--"", ""roasted sausages and sweet potato white bean stew"", ""Ryan Liebe"", ""Serves: 6"", ""Total Time: 45 min"", ""Prep Time: 15 min"", ""Oven Temp: 450"", ""Ingredients"", ""U.S.\t\tMetric\tConversion chart 2\tmedium sweet potatoes, cut into 1-inch pieces 1\tsmall sweet onion, chopped 4\tsprig(s) fresh thyme 2\tclove(s) garlic, minced 3/4 teaspoon(s) kosher salt 3/4 teaspoon(s) freshly ground black pepper 2\ttablespoon(s) olive oil 8\t(about 2 pounds) fresh pork sausage links 1\tcan(s) (14.5-ounce) low-sodium chicken broth 1\tbunch(es) Swiss chard (or other hearty greens), coarsely chopped 1\tcan(s) (15.5-ounce) cannellini beans, drained and rinsed 1\ttablespoon(s) red wine vinegar 1\t(12-ounce) baguette, cut in half lengthwise 4\ttablespoon(s) garlic-and-herb butter, softened (such as Kerrygold)"", ""Directions"", ""Heat oven to 450 degrees F. Toss together first 7 ingredients in a large roasting pan. Arrange in a single layer, and place sausage on top of vegetables."", ""Bake at 450 degrees F for 20 minutes. Remove pan and stir in broth and next 3 ingredients. Bake 10 more minutes or until sausage is browned and potatoes are tender. Meanwhile, spread cut sides of bread with butter; place on baking sheet. Add bread to oven during last 8 minutes of cook time, and bake until toasted.""]","carbohydrate, country living, dietary fiber, directions, f. toss together, information, ingredients, recipe, recipe has been, recipephotosreviews, sausage, sweet potatoes, white bean stew, your version",14,www.epicurious.com/recipes/member/views/roasted-sausage-and-sweet-potato-casserole-52998741,Gathered,"[""Directions"", ""Heat oven to 450 degrees F. Toss together first 7 ingredients in a large roasting pan. Arrange in a single layer, and place sausage on top of vegetables."", ""Bake at 450 degrees F for 20 minutes. Remove pan and stir in broth and next 3 ingredients. Bake 10 more minutes or until sausage is browned and potatoes are tender. Meanwhile, spread cut sides of bread with butter; place on baking sheet. Add bread to oven during last 8 minutes of cook time, and bake until toasted.""]"
Root Veggie Salad with Lentils & Goat Cheese,"[""1-1/2 qt. red beets, roasted, quartered"", ""3 cups red onions, thinly sliced"", ""1-1/2 cups mixed parsnips and carrots, chopped, sauteed"", ""1-1/2 cups yellow peppers, chopped"", ""1-1/2 cups roasted red peppers, chopped"", ""3 cups mixed red and yellow pear tomatoes, halved King Sooper's 1 lb For $0.99 thru 02/09"", ""2 cups candied walnuts, coarsely chopped"", ""1-1/2 cups yellow lentils, cooked"", ""1-1/2 cups fennel, sliced, braised"", ""goat cheese, crumbled"", ""1/3 cup fresh parsley, chopped"", ""3/4 tsp. ground black pepper"", ""1-1/2 cups KRAFT Sun Dried Tomato Vinaigrette with Extra Virgin Olive Oil"", ""3 cups micro greens""]","candied walnuts, fennel, fresh parsley, goat cheese, ground black pepper, micro greens, mixed parsnips, mixed red, red beets, red onions, red peppers, tomato, yellow lentils, yellow peppers",14,www.kraftrecipes.com/recipes/root-veggie-salad-lentils-goat-cheese-98322.aspx,Recipes1M,"[""Combine vegetables, tomatoes, walnuts, lentils and fennel."", ""Gently stir in goat cheese, parsley and black pepper until well blended."", ""Add vinaigrette; toss to coat."", ""For each serving: Place 1 cup of the vegetable mixture on serving plate; top with 2 Tbsp."", ""of the greens.""]"
Pickling Spice Recipe,"[""1/4 cup broken cassia bark"", ""2 tablespoons yellow mustard seeds"", ""2 tablespoons black mustard seeds"", ""2 tablespoons coriander seeds"", ""2 tablespoons allspice berries"", ""2 tablespoons black peppercorns"", ""1 tablespoon dill seeds"", ""1 tablespoon fennel seeds"", ""2 teaspoons whole cloves"", ""2 teaspoons celery seeds"", ""2 teaspoons crushed mace blades"", ""8 crushed bay leaves"", ""1 (1-inch) section dried ginger"", ""1 small dried hot red pepper""]","bay leaves, berries, black mustard seeds, black peppercorns, cassia bark, celery seeds, coriander seeds, dill seeds, fennel seeds, hot red pepper, mace blades, section, whole cloves, yellow mustard seeds",14,www.chowhound.com/recipes/pickling-spice-10594,Recipes1M,"[""Combine cassia bark, yellow mustard seeds, black mustard seeds, coriander seeds, allspice berries, black peppercorns, dill seeds, fennel seeds, cloves, celery seeds, mace blades, bay leaves, ginger, and hot red pepper.""]"
Gluten Free Seed Monster Bread,"[""1 cup almond flour"", ""1 cup brown rice flour"", ""13 cup tapioca flour"", ""14 cup pumpkin seeds"", ""14 cup oats"", ""3 tablespoons flax seed meal"", ""1 tablespoon hemp seeds"", ""1 tablespoon flax seed"", ""1 tablespoon millet"", ""1 tablespoon dry active yeast"", ""14 teaspoon ground sea salt"", ""3 tablespoons nut oil (i used walnut)"", ""1 tablespoon raw cider vinegar"", ""1 large brown egg"", ""1 13 cups almond milk""]","active yeast, almond flour, almond milk, brown egg, brown rice flour, cider vinegar, flax seed, ground sea salt, hemp seeds, millet, nut oil, oats, pumpkin seeds, tapioca flour",14,www.food.com/recipe/gluten-free-seed-monster-bread-494696,Recipes1M,"[""1. mix all the dry ingredients together in a large bowl, mix well."", ""2. heat up 1/3 C of almond milk to 110 degrees and add yeast with a pinch of raw cane sugar."", ""(any sugar works)."", ""set aside for 8 to 15 minute."", ""3. mix egg, milk, vinegar and oil together, and add activated yeast."", ""(mix well) then add to dry mix."", ""mix this well for about 3 minutes."", ""4. set bread aside for an hour in a greased up loaf pan to rise."", ""5. preheat oven to 375."", ""6. sprinkle oats on top of the bread after it has risen then bake in oven for 45 minutes or until golden brown on top.""]"
Black Maharashtrian Masala (Kala Masala) Recipe,"[""1 kg Dhania seeds, (coriander seeds)"", ""1/2 kg Lal mirch saboot, (whole red chillies)"", ""1/2 kg Sukha khopra, (dehydrated coconut minced)"", ""100 gm Lavang, (cloves)"", ""100 gm Kali mirch, (pepper corns)"", ""100 gm Tejpan, (bay leaves)"", ""100 gm Nagkeshar"", ""100 gm Dagad phool"", ""100 gm Masala phool"", ""100 gm Masala, (badi) elaichi (large black cardamoms)"", ""100 gm Shajira, (caraway seeds or possibly white cumin)"", ""100 gm Haldi ke ganthiye, (dry turmeric root)"", ""100 gm Hing ke tukde, (asafoetida in broken form)"", ""100 gm Til, (sesame seeds)"", ""100 gm Karala"", ""100 gm Khuskhus, (food grade poppy seeds)"", ""100 gm Dalchini, (cinnamon)""]","dalchini, dhania seeds, ganthiye, gm, gm lavang, karala, khuskhus, masala, mirch, nagkeshar, saboot, shajira, tejpan, tukde",14,cookeatshare.com/recipes/black-maharashtrian-masala-kala-masala-85944,Recipes1M,"[""Dry roast each of the ingredients on a low flame until well done."", ""Don't roast asafoetida and turmeric."", ""Lb."", ""all ingredients together until a coarse pwdr is formed."", ""Store in a clean dry airtight container."", ""Note: This is definitely a lengthy process, and which is why I had recommended buying to those who are short of time."", ""(who isn't)."", ""Another problem is availability of all the spices in places outside India."", ""I have not been able to find English equivalents to some of these spices in spite of extensive reference to innumerable dictionaries and enquiries with store owners."", ""Which is the reason why I have not given English names for some of the ingredients."", ""But these spices are abundantly available with storekeepers in India and familiar with their indigenous names."", ""However, good news for those who are willing to make it."", ""The effort is definitely worth it."", ""Beside this masala if properly stored will keep good without refrigeration for almost 2 years!!!"", ""For those who are still eager to make the same,"", ""I would drop a small tip: Just omit the ingredients you can't lay hands on (except the basic ones like dhania, chilli, coconut and other common ones) and go ahead and try it in a small quantity."", ""The result may not be the same, but I am quite sure it won't be disappointing."", ""All the best.""]"
"Fruity-Nutty Banana, Chocolate Granola Bars","[""2 each bananas mashed"", ""1/2 cup peanut butter or almond butter"", ""2 tablespoons cherries, dried chopped"", ""2 tablespoons blueberries dried and chopped"", ""1/4 cup apricots, dried chopped"", ""1/4 cup prunes chopped"", ""1/4 cup cranberries, dried chopped"", ""1 cup rolled oats quick-cooking or rolled"", ""1/4 cup ground flax seed freshly ground"", ""1 tablespoon sesame seeds"", ""1 tablespoon sesame seeds black"", ""1/2 cup almonds chopped, or other nuts"", ""1/4 cup sunflower seeds"", ""1/4 cup pepitas (pumpkin seeds)"", ""1/2 cup chocolate chips (semi-sweet)""]","almonds, bananas mashed, blueberries, cherries, chocolate chips, cranberries, ground flax, peanut butter, pepitas, prunes chopped, rolled oats, sesame seeds, sesame seeds black, sunflower seeds",14,recipeland.com/recipe/v/fruity-nutty-banana-chocolate-g-53287,Recipes1M,"[""Preheat the oven to 350F (180C)."", ""Line a 8 by 8-inch or a similar capacity baking pan with parchment paper or foil."", ""In a large saucepan, heat together mashed banana and peanut or almond butter over medium heat until slightly bubbles."", ""Remove from the heat, add all the dried fruits, oats, ground flax seeds, sesame seeds, and all the nuts into the saucepan."", ""Stir with a wooden spatula until well mixed."", ""Stir in the chocolate chips until well combined."", ""Transfer the mixture into the prepare baking pan, spread the mixture evenly with a rubber spatular, and smooth the top."", ""Bake for about 30 minutes until the top is firm to touch."", ""Let cool in the pan on a wire rack completely."", ""Cut into bars and enjoy."", ""The granola bars can be kept in an air-tight container in the frige for at least a week or in the freezer for up to months.""]"
International Twist,"[""12 oz. rotelle pasta"", ""1 lb. low-fat, skinless kielbasa sausage, sliced"", ""1 small green bell pepper, chopped"", ""1 small red bell pepper, chopped"", ""1 Vidalia onion, chopped"", ""1 (24 oz.) jar mild salsa"", ""1 (15 oz.) can kidney beans, drained"", ""1 (8 oz.) can no salt tomato sauce"", ""1/2 c. sliced ripe olives"", ""1 tsp. taco seasoning mix"", ""4 oz. shredded low-fat Cheddar cheese"", ""4 oz. shredded low-fat Mozzarella cheese"", ""3 c. crushed cheese flavored tortilla chips"", ""low-fat sour cream""]","cheddar cheese, crushed cheese flavored tortilla chips, green bell pepper, kidney beans, low-fat, low-fat sour cream, mozzarella cheese, olives, red bell pepper, rotelle pasta, salsa, taco seasoning mix, tomato sauce, vidalia onion",14,www.cookbooks.com/Recipe-Details.aspx?id=993243,Gathered,"[""Preheat oven to 400\u00b0."", ""In a large pot of boiling water, cook pasta according to directions."", ""Drain."", ""Meanwhile, saute kielbasa, peppers and onion in a large, nonstick skillet."", ""Add salsa, kidney beans, tomato sauce, olives and taco seasoning and cook until the vegetables are softened (about 7 minutes)."", ""Grease a 10-inch glass pie pan with nonstick spray."", ""Pour the pasta mixture into the pan; top with half of the shredded cheeses.""]"
