title,ingredients,distinct_ingredients,num_ingredients,link,source
Italian Stuffed Chicken Breast With A Marsala Sauce,"[""4 chicken breasts"", ""5 -6 tablespoons Appenzeller cheese"", ""5 -6 tablespoons gruyere cheese"", ""2 tablespoons parmesan cheese (All 3 cheeses should make a cupful maybe a little over, that should be enough for the 4 breasts.)"", ""8 sage leaves, 2 per breast"", ""4 -8 slices prosciutto (I have said this, as if they are quite wide slices, 1 per breast and if they are thin slices, you wi)"", ""Marsala Sauce"", ""1 cup marsala"", ""2 teaspoons instant chicken bouillon granules"", ""1/2 cup light cream"", ""1/2 cup thick double cream"", ""2 teaspoons tarragon"", ""1 teaspoon cornflour"", ""pepper""]","appenzeller cheese, chicken breasts, cornflour, cream, gruyere cheese, instant chicken, light cream, marsala, marsala sauce, parmesan cheese, pepper, sage, said, tarragon",14,www.food.com/recipe/italian-stuffed-chicken-breast-with-a-marsala-sauce-284144,Gathered
Easy Vietnamese Pho,"[""6 cups beef stock"", ""1 None lime, juiced"", ""2 tbsp fish sauce + extra to serve"", ""2 None star anise"", ""2 None cardamom pods (optional)"", ""7 oz rice noodles"", ""1 lb beef tenderloin, sliced very thinly"", ""4 oz bean sprouts"", ""1/2 bunch fresh cilantro, leaves picked"", ""1/2 bunch fresh basil leaves"", ""2 None spring onions, thinly sliced"", ""1 None long red chili, thinly sliced"", ""None None fried shallots, to serve"", ""None None lime wedges, to serve""]","anise, bean sprouts, beef stock, beef tenderloin, cardamom pods, fish sauce +, fresh basil, fresh cilantro, lime, lime wedges, long red chili, rice noodles, shallots, spring onions",14,recipes-plus.com/api/v2.0/recipes/23636,Gathered
Rlsawyers' Chicken Enchilada Pie ,"[""2 pounds Boneless Skinless Chicken Breast"", ""2 pounds Shredded Mexican Style Cheese"", ""12 Flame-Grilled Corn Tortillas, White or Yellow"", ""2 teaspoons Cooking Oil or Spray"", ""1 handful Chopped Lorocco Flowers, optional"", ""2 cups Your favorite Red/Green Salsa"", ""1 can Red Enchilada Sauce"", ""1 can Green Enchilada Sauce"", ""1 sheet 13x9x2 Cake Tin"", ""1/4 cup Sour Cream, optional"", ""4 pieces Jalapenos, chopped with or without seeds, optional"", ""1 handful Cilantro, chopped, optional"", ""1 handful Black Olives, any style, optional"", ""2 quarts Skillet if you have an electric stove, not needed for gas stove."", ""8 cups Large Mixing Bowl""]","cheese, chicken, cooking oil, corn tortillas, favorite red, green enchilada sauce, handful, handful black olives, handful cilantro, jalapeños, mixing bowl, red enchilada sauce, skillet, sour cream",14,www.epicurious.com/recipes/member/views/rlsawyers-chicken-enchilada-pie-5a316d25364c9024d0d4e728,Gathered
Mini Salmon Burgers With Vodka Creme ,"[""1 1/2 lbs of salmon- cut in cubes before putting in the processor."", ""1 small shallot or 2-3 tbsp onion"", ""1 tsp of seasoning- Creole, Cajun or Australian fish spice mix"", ""1 TBSP of dill"", ""2Tbsp capers"", ""Zest from 1/2 of a lemon"", ""Little bit of lemon juice- approximately. 2 tsp"", ""2-4 tbsp mayo"", ""2 tbsp chives chopped or chive blossoms"", ""Veg oil to coat your hands"", ""Vodka Creme fraice"", ""1 cup creme fraise or sour cream"", ""2 TBSP vodka approximately"", ""2 Tbsp dill"", ""mix- enough vodka in so you can taste it but do not thin the creme too much"", ""For sliders take the thin diet hamburger buns and cut with a cookie cutter - or if you want a special appetizer make blini -or use those rye squares""]","before putting, cajun, capers, chives, crème fraise, dill, lemon, mayo, shallot, sliders, veg oil, vodka, vodka approximately, vodka crème fraice",14,www.epicurious.com/recipes/member/views/mini-salmon-burgers-with-vodka-creme-50087183,Gathered
Roasted Sausage And Sweet Potato Casserole ,"[""Roasted Sausages and Sweet Potato-White Bean Stew"", ""From Country Living"", ""This recipe has been tested by Country Living"", ""Roasting sausage is great alternative to grilling in the winter. The juicy sausage lends its rich flavor to the stew in this delicious one-pot meal!"", ""By Marian Cooper Cairns"", ""Be the first to rate this recipe"", ""RecipePhotosReviews"", ""Save this recipe"", ""Add ingredients to my shopping list"", ""Submit your version"", ""Nutritional Information"", ""(per serving)"", ""Calories\t592"", ""Total Fat\t33g"", ""Saturated Fat\t--"", ""Cholesterol\t57mg"", ""Sodium\t1575mg"", ""Total Carbohydrate\t48g"", ""Dietary Fiber\t7g"", ""Sugars\t--"", ""Protein\t24g"", ""Calcium\t--"", ""roasted sausages and sweet potato white bean stew"", ""Ryan Liebe"", ""Serves: 6"", ""Total Time: 45 min"", ""Prep Time: 15 min"", ""Oven Temp: 450"", ""Ingredients"", ""U.S.\t\tMetric\tConversion chart 2\tmedium sweet potatoes, cut into 1-inch pieces 1\tsmall sweet onion, chopped 4\tsprig(s) fresh thyme 2\tclove(s) garlic, minced 3/4 teaspoon(s) kosher salt 3/4 teaspoon(s) freshly ground black pepper 2\ttablespoon(s) olive oil 8\t(about 2 pounds) fresh pork sausage links 1\tcan(s) (14.5-ounce) low-sodium chicken broth 1\tbunch(es) Swiss chard (or other hearty greens), coarsely chopped 1\tcan(s) (15.5-ounce) cannellini beans, drained and rinsed 1\ttablespoon(s) red wine vinegar 1\t(12-ounce) baguette, cut in half lengthwise 4\ttablespoon(s) garlic-and-herb butter, softened (such as Kerrygold)"", ""Directions"", ""Heat oven to 450 degrees F. Toss together first 7 ingredients in a large roasting pan. Arrange in a single layer, and place sausage on top of vegetables."", ""Bake at 450 degrees F for 20 minutes. Remove pan and stir in broth and next 3 ingredients. Bake 10 more minutes or until sausage is browned and potatoes are tender. Meanwhile, spread cut sides of bread with butter; place on baking sheet. Add bread to oven during last 8 minutes of cook time, and bake until toasted.""]","carbohydrate, country living, dietary fiber, directions, f. toss together, information, ingredients, recipe, recipe has been, recipephotosreviews, sausage, sweet potatoes, white bean stew, your version",14,www.epicurious.com/recipes/member/views/roasted-sausage-and-sweet-potato-casserole-52998741,Gathered
Root Veggie Salad with Lentils & Goat Cheese,"[""1-1/2 qt. red beets, roasted, quartered"", ""3 cups red onions, thinly sliced"", ""1-1/2 cups mixed parsnips and carrots, chopped, sauteed"", ""1-1/2 cups yellow peppers, chopped"", ""1-1/2 cups roasted red peppers, chopped"", ""3 cups mixed red and yellow pear tomatoes, halved King Sooper's 1 lb For $0.99 thru 02/09"", ""2 cups candied walnuts, coarsely chopped"", ""1-1/2 cups yellow lentils, cooked"", ""1-1/2 cups fennel, sliced, braised"", ""goat cheese, crumbled"", ""1/3 cup fresh parsley, chopped"", ""3/4 tsp. ground black pepper"", ""1-1/2 cups KRAFT Sun Dried Tomato Vinaigrette with Extra Virgin Olive Oil"", ""3 cups micro greens""]","candied walnuts, fennel, fresh parsley, goat cheese, ground black pepper, micro greens, mixed parsnips, mixed red, red beets, red onions, red peppers, tomato, yellow lentils, yellow peppers",14,www.kraftrecipes.com/recipes/root-veggie-salad-lentils-goat-cheese-98322.aspx,Recipes1M
Pickling Spice Recipe,"[""1/4 cup broken cassia bark"", ""2 tablespoons yellow mustard seeds"", ""2 tablespoons black mustard seeds"", ""2 tablespoons coriander seeds"", ""2 tablespoons allspice berries"", ""2 tablespoons black peppercorns"", ""1 tablespoon dill seeds"", ""1 tablespoon fennel seeds"", ""2 teaspoons whole cloves"", ""2 teaspoons celery seeds"", ""2 teaspoons crushed mace blades"", ""8 crushed bay leaves"", ""1 (1-inch) section dried ginger"", ""1 small dried hot red pepper""]","bay leaves, berries, black mustard seeds, black peppercorns, cassia bark, celery seeds, coriander seeds, dill seeds, fennel seeds, hot red pepper, mace blades, section, whole cloves, yellow mustard seeds",14,www.chowhound.com/recipes/pickling-spice-10594,Recipes1M
Gluten Free Seed Monster Bread,"[""1 cup almond flour"", ""1 cup brown rice flour"", ""13 cup tapioca flour"", ""14 cup pumpkin seeds"", ""14 cup oats"", ""3 tablespoons flax seed meal"", ""1 tablespoon hemp seeds"", ""1 tablespoon flax seed"", ""1 tablespoon millet"", ""1 tablespoon dry active yeast"", ""14 teaspoon ground sea salt"", ""3 tablespoons nut oil (i used walnut)"", ""1 tablespoon raw cider vinegar"", ""1 large brown egg"", ""1 13 cups almond milk""]","active yeast, almond flour, almond milk, brown egg, brown rice flour, cider vinegar, flax seed, ground sea salt, hemp seeds, millet, nut oil, oats, pumpkin seeds, tapioca flour",14,www.food.com/recipe/gluten-free-seed-monster-bread-494696,Recipes1M
Black Maharashtrian Masala (Kala Masala) Recipe,"[""1 kg Dhania seeds, (coriander seeds)"", ""1/2 kg Lal mirch saboot, (whole red chillies)"", ""1/2 kg Sukha khopra, (dehydrated coconut minced)"", ""100 gm Lavang, (cloves)"", ""100 gm Kali mirch, (pepper corns)"", ""100 gm Tejpan, (bay leaves)"", ""100 gm Nagkeshar"", ""100 gm Dagad phool"", ""100 gm Masala phool"", ""100 gm Masala, (badi) elaichi (large black cardamoms)"", ""100 gm Shajira, (caraway seeds or possibly white cumin)"", ""100 gm Haldi ke ganthiye, (dry turmeric root)"", ""100 gm Hing ke tukde, (asafoetida in broken form)"", ""100 gm Til, (sesame seeds)"", ""100 gm Karala"", ""100 gm Khuskhus, (food grade poppy seeds)"", ""100 gm Dalchini, (cinnamon)""]","dalchini, dhania seeds, ganthiye, gm, gm lavang, karala, khuskhus, masala, mirch, nagkeshar, saboot, shajira, tejpan, tukde",14,cookeatshare.com/recipes/black-maharashtrian-masala-kala-masala-85944,Recipes1M
"Fruity-Nutty Banana, Chocolate Granola Bars","[""2 each bananas mashed"", ""1/2 cup peanut butter or almond butter"", ""2 tablespoons cherries, dried chopped"", ""2 tablespoons blueberries dried and chopped"", ""1/4 cup apricots, dried chopped"", ""1/4 cup prunes chopped"", ""1/4 cup cranberries, dried chopped"", ""1 cup rolled oats quick-cooking or rolled"", ""1/4 cup ground flax seed freshly ground"", ""1 tablespoon sesame seeds"", ""1 tablespoon sesame seeds black"", ""1/2 cup almonds chopped, or other nuts"", ""1/4 cup sunflower seeds"", ""1/4 cup pepitas (pumpkin seeds)"", ""1/2 cup chocolate chips (semi-sweet)""]","almonds, bananas mashed, blueberries, cherries, chocolate chips, cranberries, ground flax, peanut butter, pepitas, prunes chopped, rolled oats, sesame seeds, sesame seeds black, sunflower seeds",14,recipeland.com/recipe/v/fruity-nutty-banana-chocolate-g-53287,Recipes1M
International Twist,"[""12 oz. rotelle pasta"", ""1 lb. low-fat, skinless kielbasa sausage, sliced"", ""1 small green bell pepper, chopped"", ""1 small red bell pepper, chopped"", ""1 Vidalia onion, chopped"", ""1 (24 oz.) jar mild salsa"", ""1 (15 oz.) can kidney beans, drained"", ""1 (8 oz.) can no salt tomato sauce"", ""1/2 c. sliced ripe olives"", ""1 tsp. taco seasoning mix"", ""4 oz. shredded low-fat Cheddar cheese"", ""4 oz. shredded low-fat Mozzarella cheese"", ""3 c. crushed cheese flavored tortilla chips"", ""low-fat sour cream""]","cheddar cheese, crushed cheese flavored tortilla chips, green bell pepper, kidney beans, low-fat, low-fat sour cream, mozzarella cheese, olives, red bell pepper, rotelle pasta, salsa, taco seasoning mix, tomato sauce, vidalia onion",14,www.cookbooks.com/Recipe-Details.aspx?id=993243,Gathered
Simple Turtles® Pumpkin Pie,"[""Crust:"", ""1 1/4 cups finely crushed graham cracker crumbs"", ""1/4 cup white sugar"", ""6 tablespoons butter, melted"", ""Filling:"", ""1/4 cup caramel topping"", ""1/2 cup pecan pieces"", ""1 cup cold milk"", ""1 cup canned pumpkin"", ""2 (4-serving size) packages instant vanilla pudding mix"", ""1 teaspoon ground cinnamon"", ""1/2 teaspoon ground nutmeg"", ""1 (8 ounce) container whipped topping (such as Cool Whip(R)), thawed and divided"", ""2 tablespoons pecan pieces"", ""2 tablespoons caramel topping""]","butter, caramel topping, cold milk, crust, filling, graham cracker crumbs, ground cinnamon, ground nutmeg, instant vanilla pudding, pecan, pecan pieces, pumpkin, topping, white sugar",14,www.allrecipes.com/recipe/235804/simple-turtles-pumpkin-pie/,Gathered
Cambodian Style Ground Pork,"[""2 1/2 lbs ground pork"", ""8 anchovy fillets, finely chopped"", ""2 1/4 teaspoons sweet paprika"", ""3/4 teaspoon pure chile powder"", ""1/4 teaspoon cayenne"", ""1 1/4 cups coconut milk"", ""1 medium jicama, peeled and coarsely grated"", ""1 tablespoon fresh lime juice"", ""12 flour tortillas"", ""Toppings"", ""1 small eggplant, cut into very thin,1 & 1/2 inch long strips"", ""1/2 small green cucumber, peeled and coarsely grated"", ""5 pickling cucumbers, peeled and coarsely grated"", ""1/2 cup fresh mint leaves""]","anchovy, cayenne, chile powder, coconut milk, eggplant, flour tortillas, fresh mint, green cucumber, ground pork, jicama, lime juice, pickling cucumbers, sweet paprika, toppings",14,www.food.com/recipe/cambodian-style-ground-pork-28886,Gathered
B-52 Cake,"[""Grand Marnier Layer"", ""10 1/2 ounces semisweet fine chocolate"", ""1 1/3 ounces Grand Marnier"", ""5 1/4 ounces heavy cream"", ""Kahlua Layer"", ""10 1/2 ounces milk chocolate"", ""5 1/3 ounces unsalted butter"", ""3 1/3 ounces Kahlua"", ""1 egg yolk"", ""Whiskey Layer"", ""1/4 lb milk chocolate"", ""1/2 lb white chocolate"", ""2 tablespoons Bourbon"", ""2 tablespoons unsalted butter"", ""1 1/2 ounces heavy cream"", ""mint creme anglaise (Mint Creme Anglaise)""]","bourbon, butter, chocolate, egg yolk, grand marnier, grand marnier layer, heavy cream, kahlua, kahlua layer, layer, milk chocolate, mint creme anglaise, unsalted butter, white chocolate",14,www.food.com/recipe/b-52-cake-46032,Gathered
Kadukash ( Sindhi Mango Pickle),"[""5 kg green mangoes"", ""150 g salt"", ""2 -3 tablespoons kashmiri chili powder"", ""50 g fenugreek seeds"", ""50 g anise seeds"", ""2 tablespoons black pepper, coarsely ground"", ""1 teaspoon turmeric"", ""1 tablespoon black cumin seeds"", ""2 tablespoons onion seeds"", ""6 leaves mace, ground"", ""1 teaspoon nutmeg"", ""4 cinnamon sticks"", ""1 liter vinegar"", ""1 liter oil""]","anise seeds, black cumin, black pepper, cinnamon sticks, fenugreek seeds, green mangoes, kashmiri chili powder, liter oil, mace, nutmeg, onion seeds, salt, turmeric, vinegar",14,www.food.com/recipe/kadukash-sindhi-mango-pickle-8965,Gathered
Phoenician Summer Squash ,"[""PHOENICIAN SUMMER SQUASH"", ""2 Medium to large Yellow Squash, peeled and cubed into 3/4 inch pieces"", ""2 Medium to large unpeeled Zucchini, cubed into 3/4 inch pieces"", ""1 Medium yellow or white onion , diced"", ""6 (or more to taste) cloves of garlic, peeled and chopped"", ""2 Medium sized Bell Peppers (any color, but red looks good), seeded and chopped"", ""2 medium sized jalapeno peppers, seeded, de-ribbed and chopped"", ""1 medium size can of sweet corn, drained"", ""2 tablespoons corn oil or canola oil"", ""1 tablespoon (or more to taste - I use all chili oil)"", ""of Chinese Hot Chili Oil (available in most big markets, or in almost"", ""every Oriental grocery store)."", ""3-4 Tablespoons (or more to taste) of Chinese Hot Chili Sauce (it's red, usually comes in"", ""a plastic squeeze bottle, looks like catsup, tastes like lava! Good stuff)"", ""8 oz (or more) of shredded cheese. I like sharp cheddar, but Colby, longhorn, jack or any"", ""similar cheese will work.""]","catsup, cheddar, chili oil, corn oil, garlic, grocery store, markets, peppers, phoenician, sweet corn, white onion, will, yellow squash, zucchini",14,www.epicurious.com/recipes/member/views/phoenician-summer-squash-1203166,Gathered
Chicken Wontons With Spicy Asian Broth ,"[""Soup:"", ""750ml (3 cups) Water"", ""1 vegetable stock cube"", ""1 tsp fish sauce"", ""1/2 lemon-grass stem, pale section only, finely chopped"", ""2 fresh kaffir lime leaves, torn"", ""2cm-piece fresh ginger thinly sliced"", ""1/2 Birdseye chillies, sliced"", ""1 garlic cloves, sliced"", ""Stalks and roots from 2 coriander sprigs"", ""Wontons:"", ""250g chicken mince"", ""1 garlic clove, crushed"", ""1 green shallot sliced thinly"", ""finely grated lemon rind from 1/2 lemon"", ""18 wonton wrappers"", ""To finish:"", ""4 asparagus spears, woody ends trimmed, diagonally cut"", ""2 green shallots, ends trimmed, thinly sliced diagonally""]","birdseye chillies, chicken mince, fish sauce, fresh ginger, fresh kaffir lime, garlic, green shallot, green shallots, lemon rind, lemon-grass stem, stalks and roots, vegetable stock cube, wonton wrappers, wontons",14,www.epicurious.com/recipes/member/views/chicken-wontons-with-spicy-asian-broth-50043875,Gathered
Old Fashioned Apple Cake (Gluten-Free And Dairy-Free),"[""1/3 cups coconut flour"", ""4 teaspoons coconut oil, melted"", ""1 teaspoon maple syrup"", ""2 teaspoons coconut sugar"", ""1/3 cups chopped walnuts"", ""6 sweet-tart apples (i.e. - Pink Lady or Honey Crisp)"", ""1 tablespoon cinnamon - cake ingredients"", ""1 1/2 cups oat flour - cake ingredients"", ""3/4 cups almond flour - cake ingredients"", ""1/2 cups millet flour - cake ingredients"", ""1 tablespoon baking powder - cake ingredients"", ""1 teaspoon baking soda - cake ingredients"", ""1/2 teaspoons sea salt - cake ingredients"", ""1 cup applesauce - cake ingredients"", ""3 tablespoons coconut oil, melted - cake ingredients"", ""4 eggs- cake ingredients"", ""1 cup coconut sugar - cake ingredients"", ""2 teaspoons vanilla - cake ingredients""]","baking powder - cake, baking soda - cake, cake ingredients, cinnamon - cake ingredients, coconut flour, coconut oil, coconut sugar, flour - cake ingredients, maple syrup, millet flour, salt, sweet-tart apples, vanilla - cake ingredients, walnuts",14,food52.com/recipes/33104-old-fashioned-apple-cake-gluten-free-and-dairy-free,Gathered
Beef Taquitos,"[""Shredded Beef - make a day (or two) ahead"", ""3 pounds beef stew meat"", ""1/2 large sweet onion - chopped"", ""1/2 teaspoon salt"", ""2 tablespoons Bragg Liquid Aminos (or substitute with soy sauce)"", ""http://bragg.com/products/la.html"", ""Salt, Pepper &amp; Onion powder - to season the shredded meat"", ""Rolling the Beef &amp; Frying the Taquitos"", ""2 packages - 24 count Mission extra thin corn tortillas"", ""Buttery cooking spray"", ""Clean dishtowel"", ""Microwave"", ""Toothpicks"", ""48 fl oz canola oil"", ""Deep fat fryer"", ""Salt""]","ahead, beef stew meat, bragg liquid, canola oil, clean dishtowel, cooking spray, count, fryer, http://bragg.com/products/la.html, microwave, rolling the beef, salt, sweet onion, toothpicks",14,food52.com/recipes/17547-beef-taquitos,Gathered
Spring Blooms,"[""2 bags M&M'S(R) Brand Milk Chocolate Candies for Easter"", ""1 bag SNICKERS(R) Brand Minis for Easter"", ""1 18.25-oz. box yellow cake mix"", ""3/4 cup flour"", ""1 18-oz. roll refrigerated cookie dough"", ""3 16-oz. cans vanilla frosting"", ""1/2 cup chocolate frosting"", ""Yellow, red & blue food colors"", ""Lollipop or craft sticks"", ""Basket weave tip (#48)"", ""Pastry bag"", ""2 8-inch round cake pan(s)"", ""Coookie sheet"", ""Wax paper"", ""2 resealable plastic bags"", ""Printable template""]","bags, cake, chocolate candies, chocolate frosting, colors, coookie sheet, easter, flour, pastry, roll refrigerated cookie dough, template, vanilla frosting, wax paper, yellow cake",14,www.myrecipes.com/recipe/spring-blooms,Gathered
Curried Whole Wheat Pasta Salad,"[""Curried Dressing"", ""2 cups Kraft Poppyseed Dressing"", ""1 cup canned pineapple juice"", ""1/4 cup chopped pickled ginger"", ""2-1/2 Tbsp. curry powder, toasted, divided"", ""Vegetable Pasta Salad"", ""tofu"", ""2-1/2 Tbsp. coriander seed"", ""2-1/2 Tbsp. mustard seed"", ""2 qt. whole wheat medium pasta shells, cooked"", ""1 cup grape tomatoes, halved"", ""1 cup frozen peas, thawed"", ""1 cup cabbage, thinly sliced"", ""8 slices eggplants, cut into 1-inch-thick slices, grilled and coarsely chopped Safeway 1 ea For $1.28 thru 02/09"", ""1 cup cauliflower florets, blanched"", ""1 cup carrots, blanched, coarsely chopped Target 2 lb For $3.00 thru 02/06"", ""1 cup fingerling potatoes, cooked, halved""]","cabbage, carrots, cauliflower, coriander seed, curry powder, dressing, eggplants, fingerling potatoes, frozen peas, grape tomatoes, pickled ginger, pineapple juice, vegetable pasta salad, whole wheat medium pasta shells",14,www.kraftrecipes.com/recipes/curried-whole-wheat-pasta-salad-121859.aspx,Recipes1M
Double Stout,"[""3 gallons water"", ""2 1/2 ounces hops bullion"", ""10 pounds malt extract dark"", ""1 pound black patent malt"", ""2 pounds crystal malt"", ""1/2 pound pearl barley flaked"", ""1/4 pound pearl barley roasted"", ""1 teaspoon asorbic acid"", ""1/2 each licorice root"", ""1/2 teaspoon citric acid"", ""1 teaspoon irish moss"", ""1 1/2 ounces hops golding"", ""2 teaspoons nutritional yeast flakes"", ""3/4 ounce yeast, active dry ale""]","asorbic acid, barley, barley flaked, black patent, citric acid, crystal malt, hops bullion, hops golding, irish moss, licorice root, malt, nutritional yeast, water, yeast",14,recipeland.com/recipe/v/double-stout-34873,Recipes1M
